user_id,product_id,rating
59,8,4.3
8007,1215,4.2
5,221,4.2
3916,673,4.1
3383,603,4.4
1972,489,4.3
6532,1021,3.7
7977,1211,4.1
6917,1072,4.0
5141,837,4.0
1921,324,4.2
728,117,3.6
8796,1318,4.2
930,151,4.1
4886,802,4.5
8019,1216,4.1
163,45,4.0
1074,182,4.1
62,8,4.3
2252,392,4.0
2188,381,4.2
5714,915,4.1
5945,945,4.2
886,146,3.7
7417,1137,4.4
300,42,4.3
3758,651,3.9
2010,354,4.4
5963,947,4.1
1179,203,4.4
5681,911,4.0
6778,1054,4.0
753,122,3.7
4220,714,4.4
6165,974,3.8
5226,850,4.2
2019,345,4.1
2818,517,3.8
6825,1060,4.3
678,188,4.3
2620,473,3.9
1977,337,3.8
8003,1214,3.6
2353,414,4.1
5042,824,3.7
1071,181,3.8
1922,324,4.2
5984,950,4.0
4322,728,4.1
2620,501,3.9
8590,1291,3.7
31,4,4.2
410,277,4.3
5256,854,4.2
5670,909,3.9
822,133,4.0
5156,839,4.2
7710,1175,4.5
6102,966,4.0
6787,1055,4.0
1962,378,4.2
3794,656,3.9
2080,396,4.1
6832,1061,4.2
1141,196,3.9
6889,1068,4.3
5881,936,3.8
2987,544,4.2
4185,709,3.6
579,91,3.6
5183,842,4.1
3836,662,3.9
395,60,4.3
868,143,3.2
2256,393,4.3
221,788,3.5
6912,1071,3.8
1167,201,4.3
3310,593,4.2
5936,946,3.7
8352,1260,3.9
117,198,4.2
61,8,4.3
503,76,4.1
6566,1026,4.1
4763,785,3.3
4761,785,3.3
5645,906,3.7
396,60,4.3
466,70,4.3
134,20,4.3
1370,229,4.1
4321,727,4.3
8627,1296,4.1
1981,446,3.8
5073,828,3.8
5828,930,4.0
415,63,4.0
1981,415,3.8
7118,1097,3.9
8799,1318,4.2
7172,1104,4.1
1952,333,4.3
3597,630,4.5
164,177,4.0
7541,1153,4.3
591,95,4.2
4454,745,4.4
8807,1319,4.3
3547,624,4.4
2321,407,4.1
3822,660,4.4
7978,1211,4.1
1339,225,4.3
17,3,3.9
1332,225,4.3
1441,239,4.0
2019,345,4.1
1222,209,3.7
7397,1135,4.4
2504,504,4.1
1720,295,4.1
2211,384,4.2
2822,518,4.3
116,17,4.2
5920,941,4.2
1974,383,4.3
3450,611,4.2
6301,991,4.3
8926,1334,4.3
6818,1059,4.2
852,139,3.9
5651,907,4.3
6699,1044,3.8
87,66,4.4
8068,1223,4.4
160,254,4.0
228,32,4.0
144,22,3.7
5525,890,3.6
3304,592,4.5
8916,1333,3.5
1456,243,4.0
2279,399,4.3
412,88,4.3
213,30,4.3
2524,453,4.2
2118,537,4.2
5723,916,3.9
3723,647,4.2
3081,562,3.8
7769,1183,4.2
2007,354,4.4
5030,822,4.3
611,97,3.8
991,165,4.5
40,36,3.9
2476,444,4.0
7474,1144,4.0
7818,1189,4.3
169,172,4.3
8,374,4.3
5604,901,4.2
6561,1025,3.3
980,164,3.9
6469,1013,4.1
7214,1110,4.7
7031,1086,4.0
3045,556,4.2
3607,632,4.3
1517,255,3.6
72,11,4.3
2138,366,4.2
2581,463,3.8
8208,1241,4.3
3876,668,4.3
632,273,4.1
5979,949,3.8
3760,652,3.7
2222,386,4.4
6411,1005,4.0
8619,1295,3.6
3828,661,4.5
65,57,4.2
7366,1130,2.3
7368,1130,2.3
2806,515,4.1
7500,1148,3.8
63,8,4.3
7814,1189,4.3
649,102,4.3
196,28,4.0
6010,953,4.2
3684,642,4.5
4860,798,4.3
167,24,4.0
1148,263,4.4
5510,888,4.3
339,50,4.2
5726,917,3.9
5780,923,3.3
672,188,4.3
1352,227,4.0
3197,577,4.0
1464,297,4.2
6354,998,4.5
2029,409,4.0
166,254,4.0
8668,1302,4.2
274,86,4.2
3151,571,4.2
6195,978,4.2
2139,366,4.2
2578,465,3.8
57,8,4.3
2546,458,4.2
5526,890,3.6
9008,1345,3.6
1787,306,4.4
3245,584,4.5
46,6,3.9
30,4,4.2
8163,1235,4.0
5250,853,4.3
4218,713,4.3
256,187,4.4
1245,211,4.0
1061,180,3.3
7632,1165,4.1
1754,301,3.7
4319,728,4.1
1008,168,4.0
4753,784,4.5
440,67,4.1
7349,1128,4.3
2723,541,3.9
364,54,4.2
2823,518,4.3
3577,628,4.0
329,49,3.6
558,246,4.4
3830,662,3.9
2043,348,4.1
2110,547,4.0
392,60,4.3
5566,896,4.2
7997,1213,4.2
202,29,4.4
5677,910,3.6
6673,1040,3.5
433,73,4.2
7597,1160,3.9
820,133,4.0
1685,291,3.3
4564,759,3.6
154,23,4.3
8626,1296,4.1
8076,1224,4.1
2026,432,4.0
9013,1347,4.0
3621,633,3.8
918,401,4.3
650,102,4.3
2740,701,4.1
840,135,4.2
864,141,4.1
2466,442,4.2
4056,692,4.4
2075,352,4.0
188,58,4.2
2234,387,4.0
336,719,4.4
2221,386,4.4
95,14,4.2
2907,811,4.0
9001,1344,4.4
2592,500,4.2
3238,583,4.2
7,221,4.2
498,75,4.1
1089,185,4.3
634,273,4.1
287,40,4.2
2045,348,4.1
61,8,4.3
1995,342,4.0
1459,244,4.2
511,77,4.0
7804,1187,4.4
4490,750,4.2
7364,1130,2.3
280,40,4.2
5249,853,4.3
509,76,4.1
1589,270,3.8
5990,951,4.2
5048,825,3.9
7706,1174,4.0
3663,639,4.4
7654,1168,3.9
8761,1313,3.9
231,32,4.0
6627,1034,4.0
4884,801,4.1
2521,502,4.2
817,133,4.0
8589,1291,3.7
3602,631,4.0
2545,458,4.2
3533,622,4.3
83,13,4.4
8404,1267,3.9
1093,185,4.3
4360,733,4.3
313,46,3.3
651,102,4.3
849,138,4.6
354,53,4.3
8899,1331,4.3
40,6,3.9
8397,1266,3.8
4853,797,4.2
8374,1263,3.9
6023,955,3.9
6294,990,4.1
5796,926,4.3
816,130,4.4
4643,770,4.6
1059,180,3.3
451,68,4.3
6620,1034,4.0
3540,623,4.3
8606,1294,4.3
7338,1126,4.4
7140,1100,4.0
879,145,4.2
4344,731,4.1
7965,1209,4.3
593,95,4.2
6069,961,3.6
8386,1264,4.3
7399,1135,4.4
5690,912,4.1
2651,478,4.0
3503,618,3.8
8516,1282,4.1
2173,397,4.1
2178,377,4.1
7266,1117,4.3
2645,478,4.0
1716,634,4.3
7109,1096,4.2
84,13,4.4
1955,334,4.3
7664,1169,3.8
2971,540,4.3
2689,491,4.0
7348,1128,4.3
5020,821,4.2
2523,502,4.2
2812,515,4.1
7480,1145,3.6
6179,976,3.1
504,76,4.1
8395,1265,3.6
7842,1192,4.0
2691,675,4.0
2760,507,4.3
3519,620,3.9
6177,975,4.0
7268,1117,4.3
671,132,4.3
7156,1102,4.2
113,198,4.2
3469,614,4.1
7527,1151,4.1
1108,189,3.9
4444,744,4.6
6800,1057,4.0
156,23,4.3
8147,1233,3.4
8505,1280,3.5
1575,269,4.0
1271,216,3.8
1048,175,5.0
845,284,4.3
1792,307,4.2
167,177,4.0
577,91,3.6
521,78,4.1
4908,805,4.2
3320,595,3.9
2374,532,4.1
8884,1329,4.2
2175,426,4.1
1181,203,4.4
442,67,4.1
2988,545,4.6
1195,205,4.4
8910,1332,3.6
373,55,4.1
7973,1210,3.8
1551,264,3.0
3076,562,3.8
3748,650,3.9
2629,659,3.9
5093,830,4.3
5892,938,4.1
6208,979,4.4
4146,704,3.9
4516,753,4.2
6221,981,4.2
2841,520,4.0
7185,1106,4.2
1923,324,4.2
4888,802,4.5
7176,1105,3.3
8749,1312,3.9
1455,243,4.0
7173,1104,4.1
4577,761,4.1
1489,621,4.4
5328,863,4.3
5978,949,3.8
3356,599,3.8
2502,450,4.1
6650,1037,4.1
1538,261,4.4
2138,467,4.2
5455,881,4.3
8169,1236,4.1
1758,301,3.7
1976,383,4.3
1980,415,3.8
842,284,4.3
7148,1101,3.8
7491,1147,3.9
350,142,4.4
3307,592,4.5
7256,1115,3.8
3584,628,4.0
118,311,4.2
1823,312,4.4
6882,1067,3.9
2371,532,4.1
1007,168,4.0
1184,204,4.0
5154,838,3.8
6580,1028,4.4
7502,1148,3.8
3865,666,4.5
6100,965,4.1
4674,774,4.3
3940,677,4.3
6040,958,4.0
7668,1170,4.1
1694,292,4.5
8323,1256,4.2
5809,927,4.0
6160,973,4.0
366,191,4.2
337,50,4.2
115,198,4.2
8468,1276,4.3
4257,719,4.4
2630,659,3.9
4446,744,4.6
6987,1081,4.0
1972,336,4.3
1397,233,4.3
157,23,4.3
7439,1140,4.4
770,124,4.1
8773,1315,4.6
171,172,4.3
2148,368,4.0
45,6,3.9
2624,474,3.9
1920,324,4.2
88,14,4.2
7734,1178,4.1
587,94,4.1
4442,743,4.4
2804,514,4.1
6233,982,4.1
4129,702,5.0
3581,628,4.0
6668,1040,3.5
5805,927,4.0
2345,412,4.1
446,67,4.1
3265,586,3.5
6949,1076,3.9
4803,791,4.4
8691,1304,3.8
1663,287,4.0
806,129,4.2
6015,954,4.0
3407,606,4.5
5993,951,4.2
5969,948,4.4
4448,744,4.6
3930,674,3.4
2176,426,4.1
281,40,4.2
4726,781,4.0
6085,963,4.0
3524,621,4.4
8648,1299,4.3
8859,1326,4.1
551,84,4.4
884,498,3.9
2120,537,4.2
7,1,4.2
5530,891,4.2
7,1,4.2
1964,378,4.2
8073,1223,4.4
3888,669,4.0
8550,1286,4.5
3582,628,4.0
2034,479,3.9
8608,1294,4.3
6745,1050,4.2
3931,674,3.4
562,85,4.2
3038,553,4.4
8432,1270,3.9
2413,594,4.1
6394,1003,3.8
6991,1081,4.0
6277,988,4.0
3616,633,3.8
8730,1309,4.1
2224,386,4.4
1475,249,3.9
1401,233,4.3
6116,967,4.3
8,18,4.0
5105,832,4.3
3362,600,4.4
5276,857,4.1
9024,1348,4.1
2134,417,4.1
7839,1192,4.0
5019,905,4.2
1089,290,4.3
2945,535,4.4
5222,850,4.2
7325,1125,4.0
5863,934,4.2
8907,1332,3.6
219,52,4.2
516,77,4.0
678,106,4.3
2849,521,3.9
4183,709,3.6
6906,1070,3.6
1075,182,4.1
7556,1155,4.2
8440,1271,4.1
2368,418,4.1
60,8,4.3
8741,1311,4.1
7385,1133,3.7
463,70,4.3
5470,883,4.0
2520,502,4.2
5508,888,4.3
1062,180,3.3
4531,755,4.4
12,18,4.0
6016,954,4.0
2630,474,3.9
507,76,4.1
973,162,4.3
6106,966,4.0
1546,264,3.0
4710,778,4.1
6857,1064,4.4
1715,294,4.2
3508,619,4.0
223,31,4.5
8538,1285,4.3
2153,371,4.1
1495,251,3.6
7749,1180,4.6
6830,1061,4.2
175,25,4.3
3537,630,4.5
404,61,3.7
1966,369,4.2
2132,413,4.1
5697,913,3.7
7049,1088,4.8
2119,361,4.2
71,57,4.2
8824,1321,3.9
7743,1179,3.4
2257,411,4.3
165,45,4.0
480,72,4.1
1293,218,4.3
3263,586,3.5
2042,462,4.1
4459,788,3.5
915,1060,4.3
4954,810,3.9
7002,1082,4.2
1988,357,4.3
7827,1190,4.0
8987,1342,4.1
5468,883,4.0
84,66,4.4
685,108,4.3
172,266,4.3
422,119,4.0
6631,1035,4.1
256,184,4.4
7301,1121,4.3
488,163,4.0
8384,1264,4.3
106,16,4.4
128,20,4.3
2896,527,4.1
7628,1164,3.8
5367,869,4.5
7095,1094,4.3
6644,1037,4.1
1706,293,4.1
4256,718,4.4
7960,1209,4.3
7934,1205,4.1
162,254,4.0
3416,607,3.8
7610,1162,4.7
786,127,4.3
27,12,4.2
2734,503,4.1
6247,984,4.1
7914,1203,4.0
1575,389,3.8
3,1,4.2
101,15,4.1
3033,553,4.4
1014,271,4.3
144,22,3.7
3306,592,4.5
205,29,4.4
150,22,3.7
2663,492,4.1
8082,1224,4.1
5609,901,4.2
